Order_ID,Order_Date,Shipment_Date,Delivery_Date,Month,Quarter,Year,Region,Warehouse,Supplier,Product_Category,Product,Units_Ordered,Units_Shipped,Inventory_On_Hand,Reorder_Level,Lead_Time_Days,Delivery_Status,Delivery_Delay_Days,Transportation_Cost,Inventory_Holding_Cost,Demand_Forecast,Actual_Demand
ORD-1001,2025-10-16,2025-10-17,2025-10-19,Oct,Q4,2025,East,Kolkata-W5,Delta Freight,FMCG,Detergent,396,380,1216,239,2,On-Time,0,6430.22,3686.51,159,159
ORD-1002,2024-01-28,2024-01-31,2024-02-05,Jan,Q1,2024,West,Mumbai-W7,HyperChain Corp,Automotive,Tyre,464,454,1654,313,5,On-Time,0,20311.27,4798.63,401,430
ORD-1003,2024-04-04,2024-04-06,2024-04-09,Apr,Q2,2024,East,Bhubaneswar-W6,JetStream Logistics,Apparel,T-Shirt,423,388,355,537,3,Delayed,5,42323.21,13133.36,454,481
ORD-1004,2024-07-15,2024-07-18,2024-07-21,Jul,Q3,2024,North,Delhi-W1,EcoShip India,Electronics,Smartphone,493,426,669,614,3,On-Time,0,21417.45,8663.26,157,147
ORD-1005,2025-12-19,2025-12-22,2026-01-03,Dec,Q4,2025,North,Delhi-W1,IndoTrans Pvt Ltd,FMCG,Shampoo,286,259,1995,720,12,Delayed,6,42928.34,15968.0,177,157
ORD-1006,2024-11-19,2024-11-21,2024-11-27,Nov,Q4,2024,North,Delhi-W1,JetStream Logistics,Apparel,Jeans,385,356,1911,619,6,Delayed,3,16098.24,12104.63,191,174
ORD-1007,2025-03-14,2025-03-17,2025-03-25,Mar,Q1,2025,East,Kolkata-W5,ClearPath Distributors,Automotive,Battery,96,92,1863,262,8,Delayed,3,40643.57,9598.88,68,72
ORD-1008,2025-09-02,2025-09-04,2025-09-14,Sep,Q3,2025,East,Kolkata-W5,BlueStar Supply Co,Automotive,Tyre,443,419,328,450,10,On-Time,0,25417.57,19168.69,530,488
ORD-1009,2025-05-27,2025-05-28,2025-06-07,May,Q2,2025,North,Lucknow-W2,IndoTrans Pvt Ltd,Automotive,Engine Oil,128,115,430,702,10,On-Time,0,46509.53,18532.88,321,346
ORD-1010,2024-01-20,2024-01-21,2024-01-28,Jan,Q1,2024,East,Kolkata-W5,Apex Logistics,FMCG,Detergent,93,89,1771,220,7,On-Time,0,28971.78,4263.69,373,377
ORD-1011,2025-07-16,2025-07-17,2025-07-23,Jul,Q3,2025,West,Mumbai-W7,IndoTrans Pvt Ltd,FMCG,Biscuits,254,253,1430,532,6,On-Time,0,28290.91,4178.08,127,155
ORD-1012,2024-01-22,2024-01-25,2024-02-04,Jan,Q1,2024,South,Chennai-W3,Apex Logistics,Electronics,Laptop,167,143,164,488,10,Delayed,4,17531.48,10737.46,269,316
ORD-1013,2025-08-07,2025-08-10,2025-08-19,Aug,Q3,2025,South,Bengaluru-W4,GlobalLink Supply,FMCG,Detergent,99,93,825,583,9,On-Time,0,43872.65,2975.08,446,374
ORD-1014,2024-04-10,2024-04-11,2024-04-19,Apr,Q2,2024,East,Kolkata-W5,Delta Freight,FMCG,Shampoo,324,297,964,337,8,Delayed,4,44351.87,3356.93,518,453
ORD-1015,2025-07-17,2025-07-18,2025-07-20,Jul,Q3,2025,North,Delhi-W1,Delta Freight,FMCG,Cooking Oil,298,274,1870,560,2,On-Time,0,12408.67,2038.8,216,239
ORD-1016,2025-04-10,2025-04-12,2025-04-20,Apr,Q2,2025,West,Mumbai-W7,Delta Freight,Apparel,Jeans,79,74,1210,212,8,On-Time,0,7572.44,12515.2,346,297
ORD-1017,2025-06-27,2025-06-28,2025-06-30,Jun,Q2,2025,North,Delhi-W1,BlueStar Supply Co,Automotive,Brake Pad,395,386,926,272,2,On-Time,0,30635.39,12420.54,62,60
ORD-1018,2025-03-05,2025-03-08,2025-03-19,Mar,Q1,2025,East,Bhubaneswar-W6,Delta Freight,Apparel,Jeans,185,168,1475,457,11,On-Time,0,46805.82,18843.22,43,44
ORD-1019,2025-07-30,2025-07-31,2025-08-03,Jul,Q3,2025,South,Bengaluru-W4,ClearPath Distributors,Apparel,T-Shirt,500,443,683,311,3,On-Time,0,29444.81,7445.31,480,453
ORD-1020,2024-01-09,2024-01-12,2024-01-27,Jan,Q1,2024,East,Kolkata-W5,ClearPath Distributors,Apparel,T-Shirt,104,99,418,428,15,Delayed,4,37292.55,5664.75,415,364
ORD-1021,2025-06-01,2025-06-03,2025-06-09,Jun,Q2,2025,North,Delhi-W1,GlobalLink Supply,Apparel,T-Shirt,51,45,367,418,6,Delayed,8,29825.62,9698.36,37,44
ORD-1022,2025-12-08,2025-12-09,2025-12-19,Dec,Q4,2025,North,Lucknow-W2,JetStream Logistics,Automotive,Engine Oil,270,234,731,523,10,On-Time,0,40825.5,17492.65,471,500
ORD-1023,2025-11-29,2025-11-30,2025-12-12,Nov,Q4,2025,North,Lucknow-W2,IndoTrans Pvt Ltd,Pharma,Vitamin C,171,167,1738,331,12,On-Time,0,6115.39,15258.16,233,210
ORD-1024,2025-02-25,2025-02-28,2025-03-15,Feb,Q1,2025,South,Bengaluru-W4,ClearPath Distributors,Electronics,Smart Watch,496,424,1063,377,15,Delayed,8,20734.63,16769.65,433,486
ORD-1025,2024-01-25,2024-01-28,2024-02-02,Jan,Q1,2024,West,Ahmedabad-W8,EcoShip India,Electronics,Tablet,229,216,918,699,5,On-Time,0,6242.02,17786.69,150,173
ORD-1026,2024-09-28,2024-09-29,2024-10-02,Sep,Q3,2024,West,Ahmedabad-W8,FastTrack Carriers,Pharma,Paracetamol,247,243,489,410,3,Delayed,7,5076.11,18660.35,338,315
ORD-1027,2025-11-17,2025-11-18,2025-11-25,Nov,Q4,2025,West,Mumbai-W7,FastTrack Carriers,Automotive,Tyre,389,380,1574,457,7,On-Time,0,35010.18,7871.29,363,396
ORD-1028,2024-05-10,2024-05-11,2024-05-19,May,Q2,2024,West,Mumbai-W7,JetStream Logistics,Automotive,Tyre,257,239,100,461,8,Delayed,7,40359.15,12919.91,201,204
ORD-1029,2025-03-28,2025-03-31,2025-04-05,Mar,Q1,2025,West,Mumbai-W7,BlueStar Supply Co,Apparel,Jacket,97,94,1638,390,5,On-Time,0,15108.83,5584.34,42,52
ORD-1030,2025-05-01,2025-05-04,2025-05-19,May,Q2,2025,North,Lucknow-W2,GlobalLink Supply,Automotive,Engine Oil,417,398,1112,559,15,Delayed,1,45169.69,17487.93,415,493
ORD-1031,2025-03-11,2025-03-12,2025-03-16,Mar,Q1,2025,West,Mumbai-W7,IndoTrans Pvt Ltd,FMCG,Detergent,283,246,1051,693,4,On-Time,0,31795.35,19100.71,484,496
ORD-1032,2025-05-31,2025-06-02,2025-06-17,May,Q2,2025,West,Mumbai-W7,HyperChain Corp,Pharma,Sanitizer,434,384,1405,433,15,On-Time,0,28458.49,13281.47,175,180
ORD-1033,2025-12-31,2026-01-02,2026-01-07,Dec,Q4,2025,East,Bhubaneswar-W6,FastTrack Carriers,Automotive,Brake Pad,120,104,884,306,5,On-Time,0,7890.3,9336.79,312,317
ORD-1034,2024-03-04,2024-03-05,2024-03-20,Mar,Q1,2024,West,Ahmedabad-W8,JetStream Logistics,Electronics,Smart Watch,294,250,820,455,15,On-Time,0,43405.16,19161.75,257,254
ORD-1035,2025-07-13,2025-07-16,2025-07-21,Jul,Q3,2025,West,Mumbai-W7,EcoShip India,Pharma,Face Mask,64,58,1469,564,5,On-Time,0,42822.75,18551.75,362,358
ORD-1036,2025-02-07,2025-02-10,2025-02-21,Feb,Q1,2025,North,Delhi-W1,GlobalLink Supply,FMCG,Cooking Oil,143,122,876,485,11,Delayed,6,20187.52,17833.52,200,182
ORD-1037,2025-03-07,2025-03-09,2025-03-24,Mar,Q1,2025,North,Lucknow-W2,Apex Logistics,Automotive,Brake Pad,229,202,240,191,15,On-Time,0,47732.53,5588.49,52,50
ORD-1038,2024-09-01,2024-09-02,2024-09-11,Sep,Q3,2024,North,Delhi-W1,HyperChain Corp,Apparel,Jacket,135,127,1631,267,9,On-Time,0,12369.46,7598.7,272,336
ORD-1039,2024-11-15,2024-11-18,2024-11-30,Nov,Q4,2024,West,Ahmedabad-W8,Delta Freight,Electronics,Smartphone,102,97,717,764,12,On-Time,0,40830.22,12186.79,57,61
